timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/29 10:32:43.467 AM	4	0.05926335	0.1152437	2.893502	0.2482792	0.1095922	2.642239	0.04012857	-0.1481858	2.843604	0.2079273	-0.07913737	2.547526	-0.07196336	-0.164426	2.594125	-0.03041462	-0.1612829	2.474006	-0.08470749	-0.1653476	2.479669	-0.1222614	-0.1643928	2.433359	0.09402814	0.3778819	2.790833	0.1650619	0.2378845	2.772689	0.1668778	0.1576578	2.780262	0.1712971	-0.08724906	2.792181	-0.0892039	-0.1760264	2.463665	-0.1919975	-0.1787227	2.399563	-0.08078976	-0.17709	2.45535	-0.1493975	-0.1448947	2.417798	-0.09082051	0.7041655	-0.7040971	0.01224794	-0.4487449	0.177951	0.5604482	0.6729481	Tracked	Tracked
05/29 10:32:46.781 AM	3	-1.5039	-0.17089	2.429469	-1.214047	-0.1645512	2.288426	-1.61351	-0.3432807	2.369725	-1.348938	-0.282326	2.16467	-1.419357	-0.3682187	2.148354	-1.503444	-0.4219581	2.144293	-1.400911	-0.3327635	2.125818	-1.513307	-0.4229616	2.137797	-1.400327	0.0768268	2.338222	-1.333441	-0.02547525	2.342966	-1.316105	-0.09628361	2.367334	-1.255732	-0.3124619	2.430869	-1.350606	-0.3034066	2.125116	-1.522391	-0.4368287	2.138842	-1.336268	-0.3111924	2.152	-1.495161	-0.4102153	2.096325	-0.1631464	0.3489234	-0.2949826	0.8744261	0.7357687	-0.5802753	0.03126045	-0.3477754	Tracked	Inferred
05/29 10:32:47.667 AM	4	0.08416071	0.1024502	2.902707	0.2847447	0.1185827	2.652974	0.05464936	-0.1557065	2.827678	0.1943712	-0.0515225	2.517258	0.1314003	-0.2659142	2.589566	-0.03304344	-0.09922377	2.445096	0.2090021	-0.3166937	2.616945	-0.1332746	-0.1055783	2.41539	0.1525298	0.3857474	2.817042	0.2092998	0.2425384	2.793565	0.2061738	0.162777	2.797229	0.1956244	-0.08077008	2.797664	0.214248	-0.3413952	2.600039	-0.1971375	-0.1212576	2.380268	0.1687835	-0.3550462	2.609	-0.1534695	-0.139393	2.370818	-0.5626774	-0.1721037	0.6678072	-0.4558597	-0.5757878	0.6387466	-0.4458755	-0.2483265	Tracked	Tracked
05/29 10:32:50.712 AM	3	-1.398346	-0.06768887	2.397414	-1.097533	-0.07582887	2.291748	-1.584782	-0.1537358	2.401183	-1.236084	-0.1965229	2.15153	-1.634473	0.004540925	2.245921	-1.434203	-0.1678826	2.081783	-1.724803	0.005524729	2.241651	-1.455338	-0.1700426	2.086474	-1.230663	0.1613373	2.374814	-1.236035	0.03585925	2.377754	-1.229627	-0.03741383	2.3911	-1.205096	-0.2602968	2.423015	-1.726514	0.005774608	2.220125	-1.498246	-0.1957631	2.104954	-1.726468	-0.006159169	2.217421	-1.450384	-0.1612778	2.0374	0.3441141	-0.3767667	0.6133077	0.6028981	0.720056	-0.6709261	-0.1765224	-0.01474346	Inferred	Inferred
05/29 10:32:51.424 AM	4	0.05827411	0.05463057	2.839085	0.2700216	0.1088206	2.635702	0.02423911	-0.2079732	2.799253	0.2028638	-0.0758542	2.524804	-0.1644694	-0.17175	2.606392	-0.02459097	-0.1417965	2.456486	-0.3213976	-0.1701744	2.484812	-0.1218546	-0.1425435	2.426812	0.1493645	0.3854328	2.79013	0.1947953	0.2397115	2.774756	0.1911446	0.1585844	2.778008	0.1791093	-0.08929826	2.777122	-0.3674088	-0.1937169	2.444256	-0.185082	-0.1598196	2.371701	-0.3536707	-0.1616553	2.471627	-0.1600577	-0.1676141	2.357812	-0.4754679	0.05810597	0.5195789	0.7075251	-0.5954764	0.6772363	-0.38611	-0.1941078	Inferred	Tracked
05/29 10:32:55.111 AM	3	-1.350918	0.03624365	2.464293	-1.136425	-0.01780529	2.334884	-1.426062	-0.2266788	2.476912	-1.303947	0.03218412	2.192708	-1.489685	-0.02101302	2.384775	-1.493108	0.09946112	2.125595	-1.493668	-0.02720612	2.387273	-1.504683	0.1057293	2.140385	-1.185567	0.2457831	2.494793	-1.195	0.1266935	2.439087	-1.189784	0.05001698	2.448212	-1.168392	-0.1850899	2.464014	-1.505629	-0.007967528	2.363835	-1.511664	0.1206956	2.129912	-1.441231	-0.029684	2.357121	-1.482505	0.1203993	2.116658	0.6727467	-0.3111946	-0.6675836	-0.07001378	-0.2298798	0.7841067	0.5374578	0.2084976	Tracked	Inferred
05/29 10:32:56.006 AM	4	0.06248696	0.1033635	2.885694	0.2602375	0.1146928	2.64506	-0.03481809	0.03065464	2.672421	0.2113249	-0.04573754	2.492099	-0.03303961	-0.08340753	2.502218	-0.04040457	-0.08454817	2.405639	-0.1414967	-0.08357639	2.380341	-0.110667	-0.09175986	2.385352	0.1256119	0.3733275	2.789068	0.1746724	0.2262393	2.777349	0.1738873	0.1481636	2.778248	0.1707269	-0.0904232	2.770389	-0.1936447	-0.07049324	2.363781	-0.1760412	-0.06568547	2.36538	-0.1823018	-0.04810957	2.363714	-0.1611208	-0.09511293	2.362857	-0.5118314	-0.02458014	0.4884119	0.7063132	0.3686936	-0.4825944	0.6427539	0.4669422	Tracked	Tracked
05/29 10:32:58.391 AM	3	-1.300535	-0.13954	2.422632	-1.120606	-0.02342092	2.357004	-1.400398	-0.3240812	2.395367	-1.238153	0.05563834	2.185443	-1.300111	-0.1342548	2.422971	-1.397003	0.1300072	2.060006	-1.277833	-0.09395464	2.401553	-1.411083	0.1377772	2.043763	-1.175667	0.2892874	2.500566	-1.19702	0.1737391	2.440466	-1.184973	0.08340711	2.452964	-1.144881	-0.1906406	2.480155	-1.272218	-0.03311186	2.438409	-1.428682	0.1564017	2.008967	-1.209939	-0.08214606	2.32925	-1.37643	0.1213799	2.013778	0.1609317	0.9099768	-0.2780838	0.262131	-0.4491734	0.8047791	-0.358153	0.1493327	Tracked	Tracked
05/29 10:32:59.412 AM	4	0.05079013	0.07837327	2.896748	0.2564743	0.1053796	2.668305	0.02857961	-0.1746872	2.800364	0.2189088	-0.07902427	2.540315	-0.0665706	-0.1895531	2.619025	-0.01508682	-0.1627661	2.435944	-0.1334211	-0.1577368	2.396628	-0.1056893	-0.1667856	2.405931	0.1192837	0.3727387	2.80768	0.1683638	0.2230134	2.793584	0.1674242	0.1444431	2.795544	0.1635222	-0.09559812	2.790646	-0.1718207	-0.1558242	2.369565	-0.1774435	-0.1584529	2.375902	-0.1912822	-0.131301	2.385375	-0.09920033	-0.1908392	2.383631	-0.5103379	-0.2864748	0.4143509	0.6969941	-0.4554199	0.583338	-0.5600277	-0.3723955	Tracked	Tracked
05/29 10:33:01.895 AM	3	-1.204693	-0.1126236	2.240046	-0.9597741	-0.07678318	2.386635	-1.338655	-0.2620933	2.165061	-0.7779499	-0.1953038	2.482015	-1.465145	-0.403208	2.065181	-0.5545552	-0.2246042	2.480304	-1.464253	-0.417655	2.067218	-0.4665938	-0.2144241	2.492813	-1.1135	0.1357863	2.313088	-1.112871	0.001789565	2.315637	-1.108388	-0.06668529	2.335729	-1.090366	-0.2747674	2.387783	-1.491403	-0.4558876	2.082635	-0.3953283	-0.222838	2.499287	-1.445178	-0.412439	2.028471	-0.4597314	-0.244864	2.469067	0.9956538	0.0267977	-0.05343514	0.07141422	0.496519	0.4811353	-0.4433405	0.5704619	Inferred	Tracked
