timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/29 10:32:42.930 AM	4	0.08677033	0.140116	2.907597	0.3200615	0.1112094	2.675441	0.06639875	-0.1172219	2.82452	0.337242	-0.08437183	2.584392	0.04884671	-0.3663218	2.727838	0.1835243	-0.1522699	2.466537	0.06761707	-0.4460046	2.73718	0.02449438	-0.1428	2.353589	0.1550324	0.3806342	2.769962	0.2120651	0.2275892	2.775684	0.2106217	0.149662	2.783451	0.2052175	-0.08828779	2.796453	0.06459973	-0.5263826	2.716439	-0.02634941	-0.1442758	2.33375	0.0357222	-0.4562692	2.737556	-0.0156474	-0.1445232	2.3462	-0.4313047	0.001525132	0.8930382	-0.1282839	-0.1706778	-0.2601458	0.6682986	0.6756999	Inferred	Tracked
05/29 10:32:42.966 AM	3	-0.957518	-0.0810864	2.413293	-0.7589907	-0.07657404	2.632562	-0.9369127	-0.2749777	2.306728	-0.6419405	-0.2697832	2.611283	-0.7167637	-0.3561636	2.257756	-0.4424163	-0.3363441	2.52224	-0.641904	-0.3827255	2.232846	-0.3805931	-0.3268969	2.504263	-0.9023087	0.1758092	2.563703	-0.9161539	0.03923563	2.546089	-0.9125366	-0.03242416	2.552491	-0.8968301	-0.2502756	2.564474	-0.5769192	-0.4139461	2.218256	-0.3068408	-0.3535171	2.480312	-0.6252471	-0.3495298	2.232111	-0.3813174	-0.3535191	2.471304	0.5658036	0.2535661	0.5825836	-0.5255157	0.4831675	0.679328	-0.44041	0.3333189	Tracked	Tracked
05/29 10:32:42.968 AM	4	0.09000435	0.120443	2.896317	0.310736	0.1110346	2.670131	0.06643818	-0.137985	2.819273	0.3214976	-0.07911739	2.578303	0.04757299	-0.3872788	2.72371	0.1163369	-0.1584056	2.461456	0.06680698	-0.4458952	2.740417	0.009716403	-0.1461297	2.382509	0.1491802	0.3818049	2.774402	0.2095246	0.2285397	2.77663	0.20825	0.1503519	2.78417	0.2032832	-0.08825789	2.79658	0.05739883	-0.5207528	2.725448	-0.05043801	-0.1524553	2.348745	0.03291351	-0.4450088	2.744667	-0.01066115	-0.1307966	2.375889	-0.4245047	0.05365441	0.882245	-0.1963688	-0.3113881	-0.1154783	0.5974681	0.7298863	Inferred	Tracked
05/29 10:32:42.994 AM	3	-0.9449515	-0.08036125	2.410291	-0.7485275	-0.07702921	2.631225	-0.9178652	-0.272397	2.301133	-0.6348388	-0.2660214	2.60717	-0.7039607	-0.307613	2.263716	-0.3924032	-0.2968272	2.510592	-0.6036395	-0.3248955	2.236307	-0.3506052	-0.2982861	2.503723	-0.8908904	0.1765358	2.564364	-0.907616	0.04008741	2.546858	-0.9046564	-0.03161382	2.552885	-0.8915914	-0.249637	2.563434	-0.5364671	-0.3453316	2.212312	-0.2826496	-0.3294252	2.484344	-0.5828558	-0.3012432	2.213788	-0.3459485	-0.2450593	2.5095	0.6455805	0.4370168	0.4064382	-0.4764979	-0.4187577	-0.3076264	-0.5846812	0.6230216	Tracked	Tracked
05/29 10:32:42.996 AM	4	0.08999624	0.1187239	2.896381	0.3025424	0.1113488	2.665806	0.06603613	-0.1402366	2.821929	0.304966	-0.0772283	2.572369	0.04725287	-0.3868997	2.728177	0.1054178	-0.1580031	2.462371	0.06354313	-0.4497539	2.738665	-0.0272184	-0.1494477	2.378479	0.144269	0.3821383	2.777115	0.2055908	0.230106	2.776383	0.2046672	0.1515732	2.783735	0.2006365	-0.08794931	2.79561	0.05632767	-0.5302684	2.725581	-0.08858322	-0.1568544	2.357169	0.0267177	-0.4481257	2.74825	-0.09810606	-0.1585973	2.3545	-0.4136215	0.02085073	0.898183	-0.1474781	-0.1877863	-0.2057866	0.6614528	0.6963249	Inferred	Tracked
05/29 10:32:43.035 AM	3	-0.9285668	-0.07800304	2.409795	-0.7418233	-0.07380118	2.632124	-0.8952696	-0.2666793	2.29561	-0.6194443	-0.2530142	2.604043	-0.6488004	-0.2711552	2.263899	-0.3876779	-0.2848928	2.516849	-0.5549092	-0.2850058	2.2453	-0.3394434	-0.2755213	2.516782	-0.883154	0.1770041	2.566223	-0.899516	0.04012701	2.548106	-0.896811	-0.03129832	2.553917	-0.8850505	-0.2485809	2.563388	-0.4793104	-0.3004254	2.225028	-0.2682296	-0.301866	2.51404	-0.5263268	-0.2541692	2.271667	-0.3183154	-0.2213881	2.524445	0.3050892	0.1427149	0.691757	-0.6387686	-0.3385196	-0.4097132	-0.5385558	0.6538327	Tracked	Tracked
05/29 10:32:43.037 AM	4	0.08954368	0.1181873	2.896939	0.2936073	0.1105987	2.661525	0.06484729	-0.1411943	2.824802	0.293706	-0.07556905	2.570418	0.04599413	-0.3851745	2.732722	0.08825789	-0.1566326	2.466465	0.06387211	-0.4488072	2.741379	-0.03857184	-0.1494278	2.398275	0.1384264	0.3819084	2.780952	0.2016279	0.2323699	2.777379	0.2009335	0.1534241	2.784436	0.197653	-0.08724615	2.795501	0.0628798	-0.5322261	2.72281	-0.1027044	-0.1567157	2.365848	0.02927692	-0.4527222	2.747706	-0.09223669	-0.1553825	2.371167	-0.4123937	0.003109277	0.8984528	-0.1506797	-0.1551162	-0.1906791	0.6715308	0.6990185	Inferred	Tracked
05/29 10:32:43.071 AM	3	-0.9286992	-0.077647	2.410144	-0.7353826	-0.06880917	2.63604	-0.812829	-0.2291452	2.290177	-0.622081	-0.2540057	2.615647	-0.5959139	-0.2510343	2.277256	-0.4130622	-0.2452018	2.53601	-0.5147858	-0.2547821	2.257674	-0.344463	-0.259736	2.529017	-0.874454	0.1774377	2.567458	-0.8914542	0.0405512	2.549661	-0.8887181	-0.03067045	2.555431	-0.8771718	-0.2473159	2.564412	-0.4386636	-0.2700698	2.244778	-0.2732371	-0.2861457	2.526271	-0.4959385	-0.2160298	2.2781	-0.3233034	-0.2057533	2.536668	-0.3535378	-0.1871534	-0.6304297	0.6652391	0.4134863	0.2796106	0.6573834	-0.5645299	Tracked	Inferred
05/29 10:32:43.072 AM	4	0.08764276	0.1175909	2.897274	0.2842581	0.110839	2.659188	0.06222899	-0.1428141	2.830709	0.2815329	-0.07543672	2.567421	0.0426462	-0.3865082	2.742581	0.07073531	-0.1540961	2.468144	0.05840436	-0.4551353	2.74549	-0.06054943	-0.1494307	2.400838	0.1326164	0.3831252	2.784844	0.1964576	0.2342492	2.777495	0.1959368	0.1549537	2.784522	0.1933335	-0.086831	2.795383	0.05409693	-0.5379776	2.73116	-0.1236576	-0.1570478	2.371744	0.02460278	-0.4476724	2.753227	-0.07942761	-0.1314525	2.399091	-0.4140911	-0.02802809	0.9030123	-0.1109579	-0.3211471	0.004292666	0.6173015	0.7181818	Inferred	Tracked
05/29 10:32:43.108 AM	3	-0.9126772	-0.06928702	2.410942	-0.7301909	-0.06777181	2.638536	-0.8067747	-0.2275435	2.290876	-0.6204089	-0.2549557	2.617409	-0.5890433	-0.2397022	2.279857	-0.4112313	-0.2443719	2.537827	-0.4932257	-0.2310768	2.268697	-0.342458	-0.2582399	2.531234	-0.8668025	0.1781206	2.568552	-0.8842469	0.04197564	2.549815	-0.8816249	-0.02933186	2.555499	-0.8704638	-0.2462043	2.564045	-0.4253686	-0.2477951	2.257282	-0.271241	-0.2846559	2.528485	-0.4811937	-0.1911757	2.274067	-0.3213183	-0.204272	2.53888	-0.421984	-0.3916796	-0.5266879	0.6253932	0.4102576	0.28329	0.6558123	-0.5668736	Tracked	Inferred
05/29 10:32:43.109 AM	4	0.08589732	0.1168612	2.897536	0.2782414	0.1108393	2.65814	0.05881621	-0.1442708	2.836104	0.2694847	-0.07619632	2.564975	0.03856777	-0.3858	2.751022	0.06370962	-0.1547728	2.471691	0.05742185	-0.4444517	2.750289	-0.07291885	-0.1498197	2.408345	0.1260096	0.3828786	2.788929	0.1935965	0.2348414	2.777553	0.1930775	0.1554159	2.784505	0.1905551	-0.08686218	2.795077	0.05374134	-0.4891759	2.734679	-0.1408504	-0.1568431	2.385928	0.02164457	-0.4606663	2.761214	-0.1191051	-0.1389856	2.391625	-0.4170484	-0.07084142	0.8955708	-0.137859	-0.2603989	-0.0361471	0.6447918	0.7177251	Tracked	Tracked
05/29 10:32:43.146 AM	3	-0.9023871	-0.06390827	2.408394	-0.7256417	-0.06615465	2.642259	-0.7970964	-0.2224166	2.288099	-0.6170662	-0.2540581	2.624416	-0.5790876	-0.222811	2.284611	-0.4082371	-0.2421545	2.543704	-0.4801769	-0.2165146	2.280307	-0.3392556	-0.2552173	2.537656	-0.8593546	0.178997	2.569622	-0.8761368	0.04259574	2.550722	-0.8737922	-0.02865887	2.556201	-0.863472	-0.2453732	2.564048	-0.4140226	-0.2329654	2.261854	-0.2680545	-0.2816467	2.534904	-0.4522536	-0.1788519	2.289334	-0.3181508	-0.2012811	2.545295	-0.3874257	-0.3863258	-0.5640628	0.6184554	0.4060284	0.2879539	0.6540858	-0.5695572	Tracked	Inferred
05/29 10:32:43.148 AM	4	0.08293384	0.1166681	2.897799	0.271794	0.1101783	2.65599	0.05796641	-0.1450512	2.838773	0.2641172	-0.07415437	2.564126	-0.1423357	-0.219289	2.671789	0.06354465	-0.1545174	2.473114	-0.2750016	-0.2649604	2.546159	-0.07925481	-0.1504673	2.414985	0.1224638	0.3825506	2.791032	0.1895418	0.2360298	2.777607	0.1892536	0.1563528	2.784471	0.1874326	-0.08668443	2.794753	-0.2827013	-0.2615382	2.513543	-0.1484147	-0.157592	2.388552	-0.2684908	-0.2713409	2.541	-0.1177285	-0.1336147	2.4036	0.02820663	-0.4388801	0.7876908	0.4314301	-0.2886368	0.0285674	0.6352626	0.7157612	Inferred	Tracked
05/29 10:32:43.182 AM	3	-0.9004726	-0.06331353	2.409974	-0.7224559	-0.06455389	2.646537	-0.7834285	-0.2128165	2.288398	-0.6043661	-0.2932808	2.613315	-0.5339406	-0.2018916	2.295501	-0.476171	-0.2051642	2.358279	-0.4509556	-0.2108701	2.288472	-0.4253754	-0.2296654	2.285789	-0.8521898	0.1784124	2.57067	-0.8699378	0.04280155	2.5519	-0.8676248	-0.02846154	2.557175	-0.8574432	-0.2451899	2.564332	-0.3762802	-0.2358951	2.282561	-0.3939085	-0.2265168	2.266047	-0.4454724	-0.1727077	2.295158	-0.377168	-0.2444307	2.2688	0.471129	0.3779185	0.5758739	-0.5509848	0.1959873	-0.3950267	0.7713455	-0.4588779	Tracked	Tracked
05/29 10:32:43.184 AM	4	0.08022523	0.1170226	2.898452	0.266311	0.1110196	2.654066	-0.005692035	-0.120087	2.79545	0.2494508	-0.07786606	2.559951	-0.208676	-0.176356	2.624628	0.06012599	-0.1549263	2.476874	-0.3535405	-0.2425532	2.544846	-0.08532207	-0.1525813	2.419546	0.1177839	0.3820391	2.793356	0.1862997	0.2373646	2.778157	0.1860477	0.1574409	2.784946	0.1843788	-0.08638144	2.794968	-0.3894019	-0.2387654	2.526636	-0.154027	-0.1610439	2.391482	-0.3220221	-0.2589543	2.512871	-0.1157852	-0.133998	2.406615	-0.4997161	0.5119073	-0.6603692	-0.2283576	-0.3007578	0.04801076	0.6340708	0.7107699	Tracked	Tracked
05/29 10:32:43.218 AM	3	-0.8950592	-0.06268092	2.409865	-0.7196047	-0.06348392	2.651437	-0.7779928	-0.2126083	2.288907	-0.6032587	-0.2926875	2.613631	-0.5333158	-0.2017666	2.295997	-0.4750672	-0.2045729	2.358594	-0.4442705	-0.20657	2.293401	-0.4400205	-0.208011	2.29459	-0.8461756	0.1787985	2.572318	-0.8638188	0.04319777	2.553365	-0.8616009	-0.02809804	2.558393	-0.8517222	-0.2449151	2.564783	-0.3690486	-0.2276378	2.282699	-0.3987231	-0.2133501	2.2718	-0.427206	-0.1681263	2.298846	-0.3898743	-0.247448	2.287778	0.4273079	0.3885151	0.5867959	-0.567569	0.1225015	-0.5405722	0.71311	-0.4292426	Tracked	Tracked
05/29 10:32:43.219 AM	4	0.076888	0.1167746	2.899002	0.2628588	0.111326	2.651894	-0.064287	-0.006036028	2.74539	0.2451125	-0.07872252	2.559546	-0.194605	-0.1783918	2.60197	0.0009536232	-0.153699	2.475764	-0.3448543	-0.244084	2.548715	-0.09485512	-0.1543889	2.423003	0.1127282	0.3806751	2.795318	0.1828511	0.2377854	2.778561	0.1827809	0.1577879	2.785285	0.18172	-0.08631653	2.795084	-0.3716547	-0.2523261	2.514483	-0.1627981	-0.165187	2.395644	-0.3087119	-0.2452991	2.538428	-0.1512817	-0.1506937	2.4044	0.3653177	-0.3974548	0.7463582	0.3892584	-0.2428533	-0.1080745	0.6664653	0.6965387	Tracked	Tracked
05/29 10:32:43.257 AM	3	-0.891519	-0.06311053	2.410863	-0.7179738	-0.06083187	2.656897	-0.7675994	-0.2076183	2.289866	-0.6008989	-0.2932731	2.616876	-0.5299134	-0.2028977	2.299562	-0.4501535	-0.2396906	2.364632	-0.4399406	-0.2027084	2.297433	-0.4270752	-0.2103295	2.296148	-0.8403	0.1785214	2.574438	-0.8579685	0.04341448	2.55363	-0.855653	-0.02778884	2.558637	-0.8455372	-0.2443183	2.564898	-0.3639388	-0.2171525	2.288454	-0.3919081	-0.2104153	2.27727	-0.432134	-0.1676631	2.296307	-0.3619926	-0.2253104	2.287	-0.4593656	-0.4474829	-0.5365928	0.5484619	-0.2506199	0.5836071	-0.498987	0.5895798	Tracked	Tracked
05/29 10:32:43.258 AM	4	0.07344458	0.1161282	2.899418	0.2592939	0.1109935	2.649768	0.05177894	-0.1467469	2.846574	0.2400308	-0.07700919	2.556479	-0.1314148	-0.2155149	2.657742	-0.003677391	-0.154687	2.474115	-0.2028388	-0.2099586	2.594377	-0.09152583	-0.1548977	2.430219	0.1086388	0.3790131	2.797136	0.1794091	0.2376399	2.77886	0.1795701	0.1576721	2.7855	0.1792189	-0.0864166	2.795044	-0.2302618	-0.2183581	2.560076	-0.1581812	-0.1645276	2.399312	-0.1681465	-0.2115391	2.583904	-0.1418265	-0.147548	2.406544	-0.4387291	0.7190228	-0.5277021	-0.1097876	-0.247943	-0.07440404	0.6630208	0.7024185	Inferred	Tracked
