timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/30 01:55:09.661 PM	2	0.00915812	0.04322482	3.284652	0.3411359	0.03276106	3.349334	-0.07783192	-0.1696711	3.302404	0.392689	-0.1986409	3.417706	-0.007345714	-0.3669643	3.230732	0.3974324	-0.3677726	3.29614	0.02382178	-0.3965734	3.227299	0.3587866	-0.3949783	3.271193	0.1893843	0.272982	3.283683	0.1664556	0.1485003	3.305066	0.1689383	0.07529312	3.312672	0.1761115	-0.1470806	3.326249	0.03546589	-0.4423643	3.228666	0.3295058	-0.4307456	3.247423	-0.007609452	-0.4475968	3.2452	0.3214191	-0.3705176	3.256565	-0.5293231	-0.2622419	0.7503986	-0.2965605	-0.6748746	0.1542294	0.5468835	0.4708248	Tracked	Tracked
05/30 01:55:09.664 PM	3	-1.458205	-0.04644226	2.513021	-1.197966	-0.02708073	2.609774	-1.529322	-0.2648705	2.503588	-1.155749	-0.3032711	2.614872	-1.603952	-0.457101	2.443349	-1.09576	-0.5082654	2.559992	-1.648739	-0.5182756	2.426835	-1.098246	-0.5764005	2.537902	-1.337761	0.1980885	2.522088	-1.339242	0.06636783	2.534863	-1.335191	-0.001961098	2.540394	-1.318583	-0.2095251	2.549231	-1.686407	-0.5651386	2.413954	-1.088148	-0.6507139	2.53213	-1.668716	-0.5454515	2.381333	-1.121955	-0.5727014	2.5175	0.938324	-0.3167899	0.1172247	-0.0738287	-0.6653339	-0.1034864	0.7298446	0.1181025	Tracked	Tracked
05/30 01:55:09.713 PM	2	0.0089062	0.04318842	3.284363	0.3409878	0.03277072	3.349017	-0.07807612	-0.170004	3.301401	0.3927002	-0.1986076	3.417666	-0.007399796	-0.3668267	3.230653	0.3906181	-0.3683932	3.296935	0.02464572	-0.3974055	3.227946	0.3574381	-0.3975059	3.271969	0.1884856	0.2732689	3.28335	0.1665416	0.1487435	3.305012	0.169005	0.07550786	3.312605	0.1761249	-0.1469292	3.32616	0.037447	-0.4428814	3.23207	0.3363473	-0.4403661	3.259398	0.001194391	-0.4652345	3.2582	0.3217943	-0.3725179	3.256009	-0.5158933	-0.2480214	0.7605193	-0.3065122	0.7069709	-0.126238	-0.5359364	-0.4438787	Tracked	Tracked
05/30 01:55:09.718 PM	3	-1.458098	-0.0464658	2.51292	-1.196347	-0.02756659	2.609277	-1.529541	-0.2660772	2.503075	-1.154605	-0.3038407	2.614362	-1.604758	-0.4582254	2.443487	-1.096608	-0.5068147	2.561265	-1.646476	-0.5187245	2.421376	-1.098165	-0.5733932	2.539314	-1.33647	0.1979017	2.52234	-1.337441	0.06675719	2.534402	-1.333546	-0.001678205	2.539951	-1.317385	-0.2095161	2.548844	-1.686206	-0.5726076	2.401181	-1.085717	-0.6466	2.536774	-1.639448	-0.5601328	2.36125	-1.121521	-0.5779891	2.511272	0.8860929	-0.3225426	0.3301633	-0.04240005	0.8296444	0.07649497	-0.5351909	-0.1393176	Tracked	Tracked
05/30 01:55:09.744 PM	2	0.008798207	0.04320025	3.283859	0.3409261	0.03287946	3.348935	-0.07813084	-0.1706606	3.300907	0.3928964	-0.1987549	3.417396	-0.007462044	-0.3668079	3.230434	0.3902018	-0.3687072	3.296931	0.02236466	-0.3966674	3.228056	0.3587847	-0.397256	3.27312	0.1879966	0.2735639	3.283236	0.1668478	0.1490653	3.305131	0.1692126	0.07576291	3.312669	0.1761467	-0.1468071	3.326137	0.03917791	-0.4410145	3.228876	0.3282571	-0.4311515	3.244148	-0.009900542	-0.422768	3.224875	0.3252012	-0.3867425	3.243	-0.5965051	-0.2699078	0.7052437	-0.2719608	0.7914358	-0.1960227	-0.4085399	-0.4102434	Tracked	Tracked
05/30 01:55:09.746 PM	3	-1.457769	-0.04638634	2.512771	-1.194991	-0.02804587	2.609244	-1.529666	-0.2666905	2.502997	-1.153947	-0.3032514	2.614008	-1.605064	-0.4586787	2.443096	-1.096204	-0.5063576	2.56121	-1.642678	-0.51581	2.415879	-1.09734	-0.5719615	2.538512	-1.334801	0.1978176	2.522406	-1.335278	0.06671897	2.534415	-1.331597	-0.001721623	2.539968	-1.316067	-0.2095807	2.548865	-1.70909	-0.5792411	2.422833	-1.082491	-0.6458369	2.534477	-1.620158	-0.5126906	2.3645	-1.120256	-0.5767294	2.504375	0.9269212	-0.3020087	0.1698362	-0.144095	0.8441116	0.0786009	-0.5098351	-0.14617	Tracked	Tracked
05/30 01:55:09.787 PM	2	0.00862556	0.04326297	3.28368	0.340752	0.03282729	3.348338	-0.07830768	-0.1708533	3.301362	0.3929571	-0.1983847	3.417118	-0.007710735	-0.3662527	3.231068	0.3895408	-0.3682622	3.296547	0.02457938	-0.3974013	3.229137	0.3563421	-0.3932497	3.268249	0.1875331	0.2738	3.283237	0.1665406	0.1491292	3.304613	0.1689513	0.0758149	3.312199	0.175981	-0.1467875	3.325796	0.03935426	-0.4421285	3.230936	0.3262636	-0.429071	3.241549	0.002082306	-0.4587313	3.256	0.3223191	-0.3697828	3.259182	-0.507392	-0.234907	0.7677032	-0.3130557	-0.6170405	0.04416214	0.6064509	0.4995279	Tracked	Tracked
05/30 01:55:09.790 PM	3	-1.457814	-0.04583998	2.512807	-1.193501	-0.02792976	2.609219	-1.528693	-0.2649675	2.502883	-1.152537	-0.3037277	2.613623	-1.605134	-0.4568016	2.444068	-1.095829	-0.5072026	2.561314	-1.645881	-0.513772	2.422235	-1.096677	-0.5725007	2.538491	-1.333822	0.1977559	2.522447	-1.334488	0.06670836	2.53442	-1.330841	-0.00170617	2.53995	-1.315442	-0.2095022	2.548789	-1.709392	-0.5926566	2.405799	-1.081728	-0.6457957	2.536981	-1.622845	-0.5336086	2.36825	-1.121717	-0.5663858	2.50565	0.8875855	-0.3305767	0.3169408	-0.04959583	0.8754843	0.07141659	-0.4533125	-0.1514414	Tracked	Tracked
05/30 01:55:09.817 PM	2	0.008423422	0.04340094	3.283499	0.3406208	0.03276166	3.348144	-0.07832029	-0.1704449	3.301187	0.3929317	-0.1982938	3.416959	-0.007783762	-0.366284	3.231077	0.3939351	-0.3683069	3.296583	0.02349453	-0.3952749	3.22836	0.357541	-0.3954935	3.271269	0.187201	0.2742853	3.283342	0.1663741	0.1492734	3.304211	0.1687787	0.07595376	3.311817	0.1757732	-0.1466666	3.325473	0.04085813	-0.4398709	3.22922	0.3313573	-0.4313282	3.246975	-0.0121419	-0.4282141	3.233125	0.3210845	-0.3661017	3.262	-0.5557467	-0.2699461	0.7282497	-0.2965247	-0.6634853	0.1237585	0.5667225	0.4725427	Tracked	Tracked
05/30 01:55:09.820 PM	3	-1.457334	-0.04608043	2.512636	-1.19245	-0.0281951	2.6092	-1.530027	-0.2683586	2.502211	-1.151697	-0.3041708	2.613062	-1.606829	-0.4599776	2.443224	-1.095721	-0.507957	2.561368	-1.653399	-0.5199948	2.424837	-1.09571	-0.5753092	2.53701	-1.332941	0.1978322	2.522218	-1.334178	0.06655498	2.53425	-1.3304	-0.001876429	2.53978	-1.314465	-0.2097295	2.548649	-1.700783	-0.5798345	2.421846	-1.083729	-0.6509436	2.531826	-1.62594	-0.5206053	2.388067	-1.120448	-0.5844274	2.5204	0.8642085	-0.3405359	0.3702473	0.009786422	-0.6238514	-0.1336472	0.7622374	0.1092806	Tracked	Tracked
